"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\FRONT2A\Microsoft Winsock BSP\Rejected Connections","\\FRONT2A\Microsoft Winsock BSP\Rejected Connections/sec","\\FRONT2A\Microsoft Winsock BSP\Dropped Datagrams","\\FRONT2A\Microsoft Winsock BSP\Dropped Datagrams/sec","\\FRONT2A\Network Adapter(Microsoft Kernel Debug Network Adapter)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Realtek PCIe GbE Family Controller)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(WAN Miniport [IP])\Packets Outbound Discarded","\\FRONT2A\Network Adapter(WAN Miniport [IPv6])\Packets Outbound Discarded","\\FRONT2A\Network Adapter(WAN Miniport [Network Monitor])\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Teredo Tunneling Pseudo-Interface)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(6to4 Adapter)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 1)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 2)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 3)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 4)\Packets Outbound Discarded","\\FRONT2A\Network Adapter(Microsoft Kernel Debug Network Adapter)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Realtek PCIe GbE Family Controller)\Packets Outbound Errors","\\FRONT2A\Network Adapter(WAN Miniport [IP])\Packets Outbound Errors","\\FRONT2A\Network Adapter(WAN Miniport [IPv6])\Packets Outbound Errors","\\FRONT2A\Network Adapter(WAN Miniport [Network Monitor])\Packets Outbound Errors","\\FRONT2A\Network Adapter(Teredo Tunneling Pseudo-Interface)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Packets Outbound Errors","\\FRONT2A\Network Adapter(6to4 Adapter)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Local Area Connection* 1)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Local Area Connection* 2)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Local Area Connection* 3)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Local Area Connection* 4)\Packets Outbound Errors","\\FRONT2A\Network Adapter(Microsoft Kernel Debug Network Adapter)\Packets Received Discarded","\\FRONT2A\Network Adapter(Realtek PCIe GbE Family Controller)\Packets Received Discarded","\\FRONT2A\Network Adapter(WAN Miniport [IP])\Packets Received Discarded","\\FRONT2A\Network Adapter(WAN Miniport [IPv6])\Packets Received Discarded","\\FRONT2A\Network Adapter(WAN Miniport [Network Monitor])\Packets Received Discarded","\\FRONT2A\Network Adapter(Teredo Tunneling Pseudo-Interface)\Packets Received Discarded","\\FRONT2A\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Packets Received Discarded","\\FRONT2A\Network Adapter(6to4 Adapter)\Packets Received Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 1)\Packets Received Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 2)\Packets Received Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 3)\Packets Received Discarded","\\FRONT2A\Network Adapter(Local Area Connection* 4)\Packets Received Discarded","\\FRONT2A\Network Adapter(Microsoft Kernel Debug Network Adapter)\Packets Received Errors","\\FRONT2A\Network Adapter(Realtek PCIe GbE Family Controller)\Packets Received Errors","\\FRONT2A\Network Adapter(WAN Miniport [IP])\Packets Received Errors","\\FRONT2A\Network Adapter(WAN Miniport [IPv6])\Packets Received Errors","\\FRONT2A\Network Adapter(WAN Miniport [Network Monitor])\Packets Received Errors","\\FRONT2A\Network Adapter(Teredo Tunneling Pseudo-Interface)\Packets Received Errors","\\FRONT2A\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Packets Received Errors","\\FRONT2A\Network Adapter(6to4 Adapter)\Packets Received Errors","\\FRONT2A\Network Adapter(Local Area Connection* 1)\Packets Received Errors","\\FRONT2A\Network Adapter(Local Area Connection* 2)\Packets Received Errors","\\FRONT2A\Network Adapter(Local Area Connection* 3)\Packets Received Errors","\\FRONT2A\Network Adapter(Local Area Connection* 4)\Packets Received Errors","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Received/sec","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Sent/sec","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Total/sec","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Current Bandwidth","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Packets Outbound Discarded","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Packets Outbound Errors","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Packets Received Discarded","\\FRONT2A\Network Interface(Realtek PCIe GbE Family Controller)\Packets Received Errors","\\FRONT2A\Per Processor Network Interface Card Activity(_Total)\Interrupts/sec","\\FRONT2A\Per Processor Network Interface Card Activity(_Total)\Low Resource Receive Indications/sec","\\FRONT2A\Per Processor Network Interface Card Activity(_Total)\Low Resource Received Packets/sec","\\FRONT2A\WFPv4\Outbound Packets Discarded/sec","\\FRONT2A\WFPv4\Packets Discarded/sec","\\FRONT2A\WFPv6\Outbound Packets Discarded/sec","\\FRONT2A\WFPv6\Packets Discarded/sec","Networking and Network Interface data"
"03/15/2022 14:25:46.177","0"," ","0"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," "," "," ","1000000000","0","0","134","0"," "," "," "," "," "," "," "," "
"03/15/2022 14:25:47.183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7702.756320202029201","17233.773981763315533","24936.530301965347462","1000000000","0","0","134","0","148.21897493348549801","0","0","0","0","0","0"," "
"03/15/2022 14:25:48.174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5764.5939547111711363","24832.640169909769611","30597.234124620939838","1000000000","0","0","134","0","118.9789228838111228","0","0","0","0","0","0"," "
"03/15/2022 14:25:49.187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","488.49433020914068493","213.16116227307958297","701.65549248222021106","1000000000","0","0","134","0","6.9103294914204802524","0","0","0","0","0","0"," "
"03/15/2022 14:25:50.188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1067.6181130009797471","663.76257212794985207","1731.3806851289295992","1000000000","0","0","134","0","16.98974159402552786","0","0","0","0","0","0"," "
"03/15/2022 14:25:51.187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1553.2326165630477135","1745.5089946288796909","3298.7416111919274044","1000000000","0","0","134","0","26.035337763947005385","0","0","0","0","0","0"," "
"03/15/2022 14:25:52.184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8703.0335343396018288","40148.805437491799239","48851.838971831399249","1000000000","0","0","134","0","137.33948948405563328","0","0","0","0","0","0"," "
"03/15/2022 14:25:53.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21149.001171423700725","31391.539695369483525","52540.54086679318425","1000000000","0","0","134","0","181.02095820427209105","0","0","0","0","0","0"," "
"03/15/2022 14:25:54.183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","447.9628887633487011","902.89408912968281129","1350.8569778930316261","1000000000","0","0","134","0","10.953989955987864846","0","0","0","0","0","0"," "
"03/15/2022 14:25:55.174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","819.79305115982560892","627.19714369177313529","1446.9901948515987442","1000000000","0","0","134","0","14.117448702737554811","0","0","0","0","0","0"," "
"03/15/2022 14:25:56.184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3037.4406931033349792","99200.930120827702922","102238.37081393104745","1000000000","0","0","134","0","45.565889216842229814","0","0","0","0","0","0"," "
"03/15/2022 14:25:57.185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","449.16603342573841928","161.69977203326581616","610.86580545900426387","1000000000","0","0","134","0","6.9905480799411110482","0","0","0","0","0","0"," "
"03/15/2022 14:25:58.183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","496.14589856733113038","162.37502134930835496","658.52091991663951376","1000000000","0","0","134","0","6.013526827245205375","0","0","0","0","0","0"," "
"03/15/2022 14:25:59.182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2460.4055384949865584","5934.8024563615845182","8395.2079948565715313","1000000000","0","0","134","0","23.021850037870944305","0","0","0","0","0","0"," "
"03/15/2022 14:26:00.180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8313.0361379470741667","2877.2809594679333713","11190.317097415008902","1000000000","0","0","134","0","42.105356021837842206","0","0","0","0","0","0"," "
"03/15/2022 14:26:01.178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1108.7774811800798034","3564.7145939655861184","4673.4920751456656944","1000000000","0","0","134","0","28.044228552850700709","0","0","0","0","0","0"," "
"03/15/2022 14:26:02.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","487.62707857199148975","318.18898258333990725","805.81606115533134016","1000000000","0","0","134","0","5.9109148293326780887","0","0","0","0","0","0"," "
"03/15/2022 14:26:03.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","484.23809987370788122","270.13282430971310077","754.37092418342092515","1000000000","0","0","134","0","9.004359911068940292","0","0","0","0","0","0"," "
"03/15/2022 14:26:04.192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","710.23352478294862067","418.13748360460920139","1128.3710083875578221","1000000000","0","0","134","0","8.0028201938363086043","0","0","0","0","0","0"," "
"03/15/2022 14:26:05.189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694.04869293179604028","611.80592874045601093","1305.8546216722520512","1000000000","0","0","134","0","14.040704000898605486","0","0","0","0","0","0"," "
"03/15/2022 14:26:06.187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","330.74215231558093819","108.24288621237194263","438.98503852795283819","1000000000","0","0","134","0","4.0076498019419473096","0","0","0","0","0","0"," "
"03/15/2022 14:26:07.186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","495.8514761548531169","162.27866492340646687","658.13014107825961219","1000000000","0","0","134","0","5.0093630003840177167","0","0","0","0","0","0"," "
"03/15/2022 14:26:08.183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","330.72017625581463562","108.23569404735752641","438.95587030317216204","1000000000","0","0","134","0","5.0120524826049202005","0","0","0","0","0","0"," "
"03/15/2022 14:26:09.180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","496.70174986521317351","108.37129087968287422","605.07304074489604773","1000000000","0","0","134","0","5.017135524670960578","0","0","0","0","0","0"," "
"03/15/2022 14:26:10.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","801.77828894983633745","602.32112839827607331","1404.0994173481124108","1000000000","0","0","134","0","12.830944606245944684","0","0","0","0","0","0"," "
"03/15/2022 14:26:11.189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","496.93421705303552471","108.42201099338956283","605.3562280464250307","1000000000","0","0","134","0","5.0199916146060070687","0","0","0","0","0","0"," "
"03/15/2022 14:26:12.185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","331.05364443414055131","162.51724363130534812","493.57088806544589943","1000000000","0","0","134","0","5.0173555345294911234","0","0","0","0","0","0"," "
"03/15/2022 14:26:13.182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","463.55997201783441142","218.73609069239805081","682.29606271023249064","1000000000","0","0","134","0","8.0275940517936366092","0","0","0","0","0","0"," "
"03/15/2022 14:26:14.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","838.09675045027654505","2498.2501221556090059","3336.3468726058854372","1000000000","0","0","134","0","27.067454804117339506","0","0","0","0","0","0"," "
"03/15/2022 14:26:15.190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4468.4812764103971858","15463.557437498158833","19932.0387139085542","1000000000","0","0","134","0","103.85926179804121716","0","0","0","0","0","0"," "
"03/15/2022 14:26:16.185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1895.8720679609289164","7308.9136964838562562","9204.7857644447849452","1000000000","0","0","134","0","59.348739125978163145","0","0","0","0","0","0"," "
"03/15/2022 14:26:17.184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2255.3868373662962767","28151.310240666985919","30406.697078033281286","1000000000","0","0","134","0","68.053857823081187917","0","0","0","0","0","0"," "
"03/15/2022 14:26:18.179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","813.78246087816171439","1504.9952177722052511","2318.7776786503668518","1000000000","0","0","134","0","15.071470419878103542","0","0","0","0","0","0"," "
"03/15/2022 14:26:19.191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3818.9297286275655097","3693.3460736468041432","7512.2758022743701076","1000000000","0","0","134","0","40.524718002325130328","0","0","0","0","0","0"," "
"03/15/2022 14:26:20.185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1717.8881816631067068","2059.6564565404946734","3777.5446382036016075","1000000000","0","0","134","0","26.146980018779565569","0","0","0","0","0","0"," "
"03/15/2022 14:26:21.180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5528.4962912417477128","19633.301216168627434","25161.797507410377875","1000000000","0","0","134","0","107.58487441124931649","0","0","0","0","0","0"," "
"03/15/2022 14:26:22.193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","680.874847210204166","1524.5675926663266182","2205.4424398765308979","1000000000","0","0","134","0","15.786405201699446721","0","0","0","0","0","0"," "
"03/15/2022 14:26:23.189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1074.6518454433705756","1688.3081796171084079","2762.9600250604789835","1000000000","0","0","134","0","20.085957856647521425","0","0","0","0","0","0"," "
"03/15/2022 14:26:24.182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1406.1192457564286542","4199.2337103048103017","5605.3529560612396381","1000000000","0","0","134","0","19.12655082352384639","0","0","0","0","0","0"," "
